N,,I
0;0.982,,0.506;0.346
0.384;0.916,,0.025;0.251
1.344;0.819,,1.344;0.437
2.280;0.750,,2.280;0.476
3.216;0.711,,3.216;0.471
4.151;0.687,,4.151;0.450
5.087;0.671,,5.087;0.437
6.023;0.668,,6.023;0.415
6.958;0.683,,6.958;0.433
7.894;0.708,,7.894;0.457
8.830;0.776,,8.830;0.530
9.802;0.836,,9.824;0.633
10.701;0.883,,10.457;0.732
11.637;0.921,,11.297;0.832
12.573;0.940,,12.232;0.916
13.508;0.946,,13.168;0.976
14.519;0.951,,14.139;1.047
15.380;0.950,,15.040;1.096
16.316;0.962,,15.975;1.139
17.251;0.962,,16.911;1.179
18.187;0.961,,17.847;1.219
19.123;0.969,,18.782;1.254
20.058;0.980,,19.718;1.286
20.994;0.979,,20.654;1.314
21.930;0.979,,21.589;1.349
22.865;0.980,,22.525;1.371
23.801;0.997,,23.461;1.398
24.737;0.997,,24.397;1.428
25.673;0.997,,25.332;1.450
26.608;0.997,,26.268;1.470
27.544;0.997,,27.204;1.493
28.480;0.997,,28.139;1.517
29.415;0.996,,29.075;1.532
30.351;0.996,,30.011;1.549
31.287;0.997,,30.947;1.562
32.222;1.013,,31.882;1.570
33.158;1.014,,32.818;1.593
34.094;1.014,,33.754;1.596
35.030;1.014,,34.689;1.605
35.965;1.014,,35.625;1.605
36.901;1.014,,36.561;1.625
37.837;1.014,,37.496;1.629
38.772;1.013,,38.432;1.629
39.708;1.013,,39.368;1.629
40.644;1.013,,40.304;1.646
41.579;1.013,,41.239;1.647
42.515;1.013,,42.175;1.647
43.451;1.013,,43.111;1.647
44.387;1.012,,44.046;1.647
45.322;1.012,,44.982;1.647
46.258;1.012,,45.918;1.647
47.194;1.012,,46.853;1.646
48.129;1.012,,47.789;1.646
49.065;1.012,,48.725;1.646
49.841;1.009,,49.713;1.642
